"","AN_BR1_4","AN_BR1_5","AN_BR1_6","AN_BR1_8","AN_BR2_4","AN_BR2_5","AN_BR2_6","AN_BR2_8","AN_BR3_4","AN_BR3_5","AN_BR3_6","AN_BR3_8","BB_BR1_4","BB_BR1_5","BB_BR1_6","BB_BR1_8","BB_BR2_4","BB_BR2_5","BB_BR2_6","BB_BR2_8","BB_BR3_4","BB_BR3_5","BB_BR3_6","BB_BR3_8","ML_BR1_4","ML_BR1_5","ML_BR1_6","ML_BR1_8","ML_BR2_4","ML_BR2_5","ML_BR2_6","ML_BR2_8","ML_BR3_4","ML_BR3_5","ML_BR3_6","ML_BR3_8"
"AN_RF_S2_1_4_S343_L004_1242",6.94149579211683,2.58879781247491,5.48121060247598,6.79716515236162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1258",25.0386211005388,22.6535341062309,22.6813839365278,15.0382128668224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1283",20.2677504964087,12.052664358055,13.7682739251574,17.0617188277912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1312",7.7788683580251,7.32356340547018,5.50421109829634,6.97612237868775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1315",8.46696499598558,4.13803157303588,3.23930522500597,4.79106471169518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1343",9.73203899585029,8.62684267003585,8.12000621299708,12.2787128766764,4.89126778696248,6.93709518562732,5.49365771728301,4.76874336454598,3.50178777831496,4.19234862269745,3.04956166881853,3.26979264922481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1371",33.9837009614372,0,0,4.05316097270449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1384",13.2156013991192,12.6329961699547,12.4393165820388,25.7637715654003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1397",13.9411663042319,13.2564288150839,12.5240617558383,20.8169932280233,57.6156633419983,55.1675485238056,52.5507985939865,51.3811653062435,192.549973764385,234.98256109739,190.373654286542,163.39137923563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_142",15.1420338270741,19.4107686146335,16.0626087465866,25.2533350579426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1431",11.7323637317285,9.54922826303367,11.7568785565712,13.5373658630217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1434",5.21395903301248,0,4.23632851686017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1440",13.2920370459185,9.74145297399256,9.62975057416763,12.995325154307,3.05161379038147,3.33951954890939,3.36774976014842,3.63011281166959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1442",6.55881935929482,7.42171808327833,5.48013309568851,7.7383770277655,1.87199340077392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1446",12.9647366339636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1453",6.03796962724032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1461",22.770213256897,21.4649160879041,24.3406256946981,36.6115754770996,0,0,0,0,9.03325495336747,6.99611407635314,5.71239100456983,4.83463579727503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1462",16.676728433345,11.1827543005472,14.5740137910009,9.48604961321981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1475",8.08408575292875,0,0,2.19634659162066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_148",9.11534705869706,9.33238210357118,7.44419439147258,13.5911860737808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1497",15.228967161534,24.0688187975742,13.0971020798041,22.2214854357165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1498",22.6158178074346,28.2522684093592,25.1336500004029,49.0221787907084,4.74656888858111,7.03795825447223,4.67488453605598,4.4967774967717,42.1892572540212,47.9719925352765,35.1601548239442,40.5178678426493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1513",10.6488726322885,9.25502219223505,7.55523094867448,14.1646775317788,2.27385242757438,1.64566948500824,0,0,13.3065412658266,11.2228398865911,9.24046143881432,11.0606092632959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1528",7.46745170290732,5.39532580794349,2.85689311145308,3.44545256341809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1536",32.7280972552804,14.6090699272156,22.0803442257275,29.9020145220415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1552",12.7187389038966,4.70058736884607,0,3.17218874120427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1557",18.7180822134385,18.4435850658677,10.2284643077087,14.8901900238878,4.00753923560321,5.86671070915769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1572",9.84287899728663,6.90906012179405,4.23245210588287,3.95086198421515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
