"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"BB_BR2_SM_S106_L002_929",7.94816347473912,7.55886121195626,13.6521310004999,14.1200903393651,7.87936522522051,15.1675412133271,16.969330211466,11.3721174209719,0,1.62853019614525,0,0,3.80700460595135,3.05453612824853,4.68407999254768,3.55346223606212,4.39751241883566,3.12088004189752,4.76543452921169,4.37955335769679,4.06170433198651,5.26542950255833,3.81318323751041,4.88326762923673,4.91604329024129,4.02513128562486,4.28476820615246,3.98887858030133
"BB_BR2_SM_S106_L002_944",0,0,0,0,0,2.10129669932105,0,5.7706348999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR2_SM_S106_L002_94",2.96807737008904,2.92464640119452,6.4068922265718,6.20575771634236,32.49707970929,33.6332496429681,32.60387047978,37.612629836879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR2_SM_S106_L002_963",22.6100068163533,23.0541999890046,38.8218086387805,34.6115500193544,8.40095833474459,16.0500905664884,33.1819734512343,16.6650644070335,139.758524042213,176.379845929413,201.977813516062,146.412352468647,140.141910920091,151.448276568365,180.404841281783,151.740862806021,170.486699398373,129.682193266938,179.142862017954,193.696186360311,116.814459694272,145.732067409255,134.442891120024,160.704599169498,144.401075380766,109.284366150566,155.628531441696,157.585287830358
"BB_BR2_SM_S106_L002_983",0,0,0,0,7.32748824252829,12.4640386785429,7.97652061789463,12.749373334549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR2_SM_S106_L002_989",4.37875811984227,1.95449230944177,3.79214205962674,5.30017296627974,9.28036788002871,5.94596591701149,6.14807531430836,10.3224117578943,4.04319859523843,2.18602854793456,4.65275070840031,4.19645127558854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR2_SM_S106_L002_9",0,0,0,0,13.1169586463146,9.64338548473532,8.58040256555452,10.3973510054734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR3_CB_S110_L002_1002",1.72947410413819,1.75812643925129,0,0,0,0,0,0,14.7478052896004,7.29520529949536,7.22729818563586,5.68673688999711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR3_CB_S110_L002_1074",5.72031142308757,7.35458202290083,3.34001802284747,5.41337600092433,0,0,0,0,29.0701020877983,22.6943263037018,11.651212005219,21.8558807865318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR3_CB_S110_L002_1106",4.34410896565561,5.3995216014545,2.17616419438119,3.73891396216419,0,0,0,0,16.8205549208416,17.8954021679135,13.5319098771312,13.3492783094055,26.3580187531612,31.4695594873482,14.9414378246455,12.6117099048901,20.8300061806109,25.5505563892629,15.6283824970171,14.4395047119257,13.9899362721471,19.8458318559708,15.7284424131618,20.1384399539372,16.2759211823273,11.8268792102117,17.4515519886353,17.4387450813431
"BB_BR3_CB_S110_L002_1151",6.07758368561381,6.33557292764448,4.83721633731286,5.10519921678879,0,0,0,0,24.1177678317471,36.3831762581991,20.9510293746148,32.2821734217497,11.3950778680461,12.3619349909121,7.56721650466863,7.39637626587556,9.40751497428143,13.3925894965936,7.41395180008459,7.86616390166536,8.4267035441395,8.32399922736329,9.38448037549005,11.2863971355082,9.0739917907626,8.57133032779507,10.4287772403119,10.6105390459209
"BB_BR3_CB_S110_L002_1159",6.40375113208752,4.19385902154609,2.19723934706386,3.64487910387478,15.5104324969453,7.7388499843503,6.26547963468641,14.3497393685861,22.7887588124025,6.21289922938779,15.3459428857165,14.7034483726413,3.99199597794089,4.50339238387865,3.19104928705155,2.47587984175619,3.76666109004615,5.1415906131476,2.6990472447287,2.97138732279361,2.4267503952432,2.99758632941813,2.94670958028238,3.64962600982978,3.05663184374377,2.29697763235444,3.33647288607543,3.42244932495484
