"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"PB_GW_R2_268",0,0,0,0,0,0,0,0,0,0,0,0,2.63112955418519,2.22151069326448,7.11296363424445,6.74931930427279,2.16789022691866,0,7.19947308488286,7.61666547086475,2.74990538611693,4.03442036611975,2.1583305236926,2.5180571161847,2.92580716932742,2.83619757084647,0,2.64961330261887
"PB_GW_R2_2877",0,0,0,0,0,0,0,0,0,0,0,0,6.86569104413523,8.37927514036373,8.78724067314746,7.9505363229798,8.65504866419247,7.94608956792352,9.88002675388528,8.48825498292209,7.49022470649872,9.03233415138169,8.50225815034274,8.51120611204472,6.59595776704208,7.65668962685336,7.77802113777712,8.89058013640145
"PB_GW_R2_316",2.27726275294368,2.25395804390056,9.8699859379204,1.84080831499297,0,2.33024012023836,3.10627271768566,0,3.76289899505404,2.5596475836562,9.76861063008759,3.6765495239679,6.13712204607515,5.37140775036181,16.0410134737072,13.0329707667636,6.89186180691685,3.45357764033109,14.7969900579354,12.8631454335073,11.4739839443398,15.0789552883103,11.1325467967232,11.9423845405535,10.4559421699603,10.2050872614465,9.55438562752416,9.55823233748019
"PB_GW_R2_489",0,0,0,0,0,0,0,0,0,0,0,0,3.57987635070009,2.860789919524,6.62318994288135,6.53029573997246,3.8378498560394,2.47910267098005,8.01191115995248,8.32484377377953,4.38880965593202,4.22426549923915,3.08930615848221,3.34529539686298,3.70126041094578,3.53730943540197,2.70111311329554,3.17831729190239
"PB_GW_R2_520",0,0,0,0,0,0,0,0,0,0,0,0,11.2578085710585,5.61708923621308,19.3631437679521,17.2597343317516,10.176170429321,6.25532684912831,21.4077031680741,17.3215091667392,11.9550152049941,16.8744541263749,14.3880738228203,17.2009616956323,13.2236229028766,13.5984953213776,13.4703496123185,14.944600144209
"PB_GW_R2_569",0,0,0,0,0,0,0,0,0,0,0,0,5.04233420404137,3.00508184012684,8.13548952781019,10.0891002228311,4.37591426517413,3.22825802258092,8.50409183976817,9.80318813556222,4.91264417235708,6.6472491618643,4.29018603393651,4.99773035799467,4.76715273903174,4.95170967750379,3.78476939861477,4.25697752342092
"PB_GW_R2_614",4.47220476918048,3.56835211248637,2.89888584019647,4.82686933155001,0,0,0,0,15.5103153439993,19.7779485262981,24.3263530820488,20.5402394011233,44.4642020673796,59.9934968333474,48.3871743596547,33.9633297318298,41.5358257006793,66.8499800419261,45.5513959661922,35.5320382636305,40.3885510834082,48.5098984059175,44.7676223375889,52.0511004315363,41.0797420398608,38.9885276007752,42.7279475420111,44.4746483960138
"PB_GW_R2_872",28.4774053138015,18.3656714224528,36.4209512111985,21.8218273246342,3.50556865613303,4.74974814209199,4.56900385781115,3.29692779775947,60.7481734667986,37.6557311934378,43.2724743285435,63.6158563067085,10.8660769322594,5.25804276428959,10.5346570147434,11.6928500980923,12.6034057364406,4.74613199712427,13.4250033151785,11.7118708921749,12.4034587264852,11.7941672593792,11.370494069673,15.7192538880531,10.5642668326761,21.348610429734,14.4559217709503,13.3308801901199
"SM_GC_R1_1003",68.7026992116357,71.450124211142,58.6357689519542,51.3140637017535,38.1826729720612,44.1587900747781,37.6815796735678,40.9120322232641,128.709296088516,112.146705593075,141.203814552918,116.549262573818,40.8286033791402,46.39571621424,45.9944331190727,43.6356123268937,35.8142191604139,47.9030125269296,45.5867858977675,41.6977326551367,35.9436297620736,38.1034744106329,42.6403293873965,51.7172796443587,35.5789943794035,33.8312847639466,42.5620358840298,47.5430577211571
"SM_GC_R1_1010",0,0,0,0,0,0,0,0,6.43952551229595,2.24801063657431,0,2.00905822798041,12.4146389244379,16.7736700491636,11.8454745078963,10.1859556815842,11.6367117017239,19.1866932829867,10.8467195137498,10.1205728888973,10.9683570674166,11.1294293408953,11.390835206211,13.6219134808523,10.6598341942324,10.1760473526626,12.3330098219174,14.0634758122589
