Contig	AN_BR1_4	AN_BR1_5	AN_BR1_6	AN_BR1_8	AN_BR2_4	AN_BR2_5	AN_BR2_6	AN_BR2_8	AN_BR3_4	AN_BR3_5	AN_BR3_6	AN_BR3_8	AN_TR1_4	AN_TR1_5	AN_TR1_6	AN_TR1_8	AN_TR2_4	AN_TR2_5	AN_TR2_6	AN_TR2_8	AN_TR3_4	AN_TR3_5	AN_TR3_6	AN_TR3_8	BB_TR1_4	BB_TR1_5	BB_TR1_6	BB_TR1_8	BB_TR2_4	BB_TR2_5	BB_TR2_6	BB_TR2_8	BB_TR3_4	BB_TR3_5	BB_TR3_6	BB_TR3_8	BB_BR1_4	BB_BR1_5	BB_BR1_6	BB_BR1_8	BB_BR2_4	BB_BR2_5	BB_BR2_6	BB_BR2_8	BB_BR3_4	BB_BR3_5	BB_BR3_6	BB_BR3_8	ML_BR1_4	ML_BR1_5	ML_BR1_6	ML_BR1_8	ML_BR2_4	ML_BR2_5	ML_BR2_6	ML_BR2_8	ML_BR3_4	ML_BR3_5	ML_BR3_6	ML_BR3_8	ML_TR1_4	ML_TR1_5	ML_TR1_6	ML_TR1_8	ML_TR2_4	ML_TR2_5	ML_TR2_6	ML_TR2_8	ML_TR3_4	ML_TR3_5	ML_TR3_6	ML_TR3_8
ML_TR1_5_S182_L004_851	0	0	2	0	5	5	15	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13367	16681	14327	8248	16315	12572	15901	12944	15806	20958	10764	26370	6202	7401	6514	9292	5689	4434	12421	8969	5577	6887	8219	8261
ML_TR1_5_S182_L004_924	2	3	3	3	5	1	1	2	1	0	4	3	5	1	2	3	1	2	2	2	3	0	2	2	5	1	2	4	2	4	2	3	0	3	2	3	8	3	2	7	4	5	6	3	6	2	3	4	3512	6039	2720	1440	2337	2675	3041	2754	3371	1996	758	1997	3330	3901	4843	4737	4777	4420	3707	3267	3221	3311	4403	2926
ML_TR1_5_S182_L004_931	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	6	6	429	627	195	364	294	677	654	449	530	793	369	469	350	592	282	455
ML_TR1_5_S182_L004_943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	44	15	10	64	85	45	83	48	6	12	10	681	942	714	954	1260	1478	979	1010	766	860	1242	752
ML_TR1_5_S182_L004_998	4	0	2	3	2	0	0	0	0	0	0	0	4	4	2	1	1	1	0	2	0	1	1	0	2	1	6	0	3	4	2	7	2	3	3	4	9	0	1	1	3	7	5	2	8	4	1	0	58	20	123	12	85	111	94	72	83	99	37	1992	508	7693	548	892	894	921	6153	1221	1071	2600	628	443
ML_TR1_6_S183_L004_1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	523	296	141	1400	1283	1307	1297	628	626	199	383	1221	1675	1757	1173	1478	1696	1641	1447	1360	1448	1082	1423
ML_TR1_6_S183_L004_101	3	2	0	6	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	41	45	20	42	33	34	28	49	53	14	61	3235	8222	7972	8260	6096	13289	5959	5240	3259	6021	4601	4675
ML_TR1_6_S183_L004_1037	16	6	13	30	3	18	9	11	16	19	11	10	20	15	32	31	20	30	21	26	29	20	32	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	709	256	98	54	83	133	752	316	378	301	357	666	1039	1882	878	1062	1278	916	916	744	883	1049	855
ML_TR1_6_S183_L004_1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331	1618	1382	1014	474	421	435	390	529	1107	937	1089	723	2301	2170	2197	508	1280	929	1168	340	1208	1511	1050
ML_TR1_6_S183_L004_1076	1	1	2	2	4	3	5	3	5	7	3	3	1	5	3	0	1	3	3	3	4	2	1	2	2	1	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	1	1	0	0	0	0	13	32	7	7	14	7	2	8	12	6	5	5	36	106	7246	87	217	79	50	25	77	97	64	622
