"","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"BB_TR3_5_S178_L004_435",0,0,0,0,0,0,0,0,0,0,0,0,15.2492642916943,13.0341802761838,17.3153686449892,15.3323025501817,10.8165352434364,12.9689855460323,15.8178329599012,11.549723528548,10.579542374081,8.53972017828821,13.4133156617462,14.6836014522211,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_454",0,0,0,0,0,0,0,0,0,0,0,0,6.95739369465114,6.41169649144877,6.53421829173211,5.19315737918043,5.99001129015446,6.44232330507845,9.50137144811499,7.84460988328196,5.75242369500017,5.50326589069632,5.89653383257569,6.03703245469999,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_533",0,0,0,0,0,0,0,0,0,0,0,0,5.11727187126553,4.11358933700536,3.88692295065104,3.62177287208887,2.0848655461707,2.98008969122652,4.4133747123747,2.80337644271927,3.15041314791549,2.2888939717468,3.23912005984845,3.34094243684681,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_54",0,0,0,0,0,0,0,0,0,0,0,0,6.19895984692811,5.40512658343574,5.86345349567231,5.25157646255988,2.36354734106652,4.92205634749667,5.94672459581317,4.0962203644543,4.42061704894557,3.52345754858637,4.67451111719959,4.73122347030117,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_557",0,0,0,0,0,0,0,0,0,0,0,0,6.15462782693075,7.26712946566734,8.67891918890346,5.65087569093302,5.7428295962625,6.87434058924472,7.77261434482327,7.37833460690727,5.71073479901447,5.36083283669263,6.87125926227606,5.45133866170843,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_558",0,0,0,0,0,0,0,0,0,0,0,0,20.1653867070211,14.0387753749766,16.2747288014275,14.9956615025026,15.059486945903,15.9806026491057,14.9176518894171,11.2887201997339,13.1386135408007,10.2230090551164,10.490227834199,12.2608613879739,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_559",0,0,0,0,0,0,0,0,0,0,0,0,5.98853672254958,5.29693783307849,6.39282512544559,7.24983708308861,6.60450275998693,5.54321289464623,6.87201613836118,4.59207337012992,4.52692983574662,3.73871140192191,4.39824689657562,4.12263369912279,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_64",0,0,0,0,0,0,0,0,0,0,0,0,7.29717301003079,6.36641760195575,7.02552882261456,5.537581214202,6.15424070021699,7.02039564262805,10.065124406251,9.45755657502827,6.66985733741673,6.04931950472576,6.72885360128702,5.51174076231508,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_697",0,0,0,0,0,0,0,0,0,0,0,0,0,7.35075285222225,4.32181829604798,6.28968338292513,0,5.64426468827719,8.93028091735396,6.70244079934754,0,5.35395192432142,5.07604148858505,4.7695088602021,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_72",0,0,0,0,0,0,0,0,0,0,0,0,11.8345055824947,12.0656142833884,9.01207047681122,8.13872074430385,5.40633001967493,6.1214595696203,12.2452269843161,7.74950312358796,11.7895453164485,7.16094211875027,8.80477828779908,8.948617810802,0,0,0,0,0,0,0,0,0,0,0,0
