"","OTU_ID","baseMean","estimate","stderror","statistic","p.value","p.adjusted","Sig","pH_Enrichment","Comparison","Site","Type","bonferroni"
"556","ML_TR3_8_S192_L004_2129",902.163248482242,-13.0705412660946,1.95391751638745,-6.68940278004178,2.24083193091781e-11,8.90058442960556e-10,"S","8","4_8","McLaughlin","Tech",2.67017532888167e-07
"557","ML_GL_S1_1_4_S355_L004_1253",132.410538225165,-31.9324241965794,4.24755219780457,-7.51784150247389,5.56879536834235e-14,1.22884751128088e-11,"S","6","5_6","McLaughlin","Tech",6.63577656091674e-10
"558","ML_GL_S1_1_4_S355_L004_1277",491.528067842507,12.4297718147359,2.56244350540684,4.85074960228728,1.22995742772187e-06,7.18439838663425e-05,"S","5","5_6","McLaughlin","Tech",0.0146561727087339
"559","ML_GL_S1_1_4_S355_L004_3537",144.62170051609,-33.4655867407412,4.24733071157832,-7.87920437876742,3.2947220825332e-15,1.09055300931849e-12,"S","6","5_6","McLaughlin","Tech",3.92599083354656e-11
"560","ML_GL_S1_1_4_S355_L004_4031",978.85994945593,-12.3434134036398,1.99491176996175,-6.18744828192398,6.11458980096324e-10,5.78265492605381e-08,"S","6","5_6","McLaughlin","Tech",7.2861452068278e-06
"561","ML_GL_S1_1_4_S355_L004_4063",243.139354503274,-24.8739542418751,4.12379709809587,-6.03180846442721,1.6213488096678e-09,1.2879994944001e-07,"S","6","5_6","McLaughlin","Tech",1.93199924160015e-05
"562","ML_GL_S1_1_4_S355_L004_4089",84.8586356717553,-31.1718675648951,4.24778224315049,-7.33838642862624,2.1618424064065e-13,3.90310819920300e-11,"S","6","5_6","McLaughlin","Tech",2.57605141147398e-09
"563","ML_GL_S1_1_4_S355_L004_931",94.2048534061183,-23.6741235028863,4.24764164443979,-5.57347476190135,2.49707842970595e-08,1.50278720042303e-06,"S","6","5_6","McLaughlin","Tech",0.000297551865683761
"564","ML_GL_S1_1_5_S356_L004_3906",155.236358789668,-24.7646863966391,4.24736567534918,-5.83059907941718,5.52287342011174e-09,3.65614220411397e-07,"S","6","5_6","McLaughlin","Tech",6.58105596740514e-05
"565","ML_GL_S1_1_5_S356_L004_4157",281.406976665111,25.0973523143138,4.09008777130578,6.13614027806091,8.455050463734e-10,7.30075226998945e-08,"S","5","5_6","McLaughlin","Tech",1.00750381325854e-05
"566","ML_GL_S1_1_5_S356_L004_879",237.680565571042,-24.7710474600984,4.12986699339435,-5.99802548114001,1.99731185700947e-09,1.4691338326003e-07,"S","6","5_6","McLaughlin","Tech",2.37999680881248e-05
"567","ML_GL_S1_1_6_S357_L004_2144",152.810343678107,-34.269874468455,4.24732392885625,-8.06858036789376,7.11202471346945e-16,2.82489621619007e-13,"S","6","5_6","McLaughlin","Tech",8.4746886485702e-12
"568","ML_GL_S1_1_6_S357_L004_3015",269.921615583656,-37.9558362516674,3.75729169757742,-10.1019136406524,5.4174561511253e-24,1.07590679161348e-20,"S","6","5_6","McLaughlin","Tech",6.45544074968091e-20
"569","ML_GL_S1_1_6_S357_L004_3044",166.431470941631,-25.0766639673535,4.24731809621789,-5.90411723333919,3.54539990835972e-09,2.42798766138014e-07,"S","6","5_6","McLaughlin","Tech",4.22469853080144e-05
"570","ML_GL_S1_1_6_S357_L004_571",321.826860627619,-24.5240452514226,3.21310313613856,-7.63251106869078,2.30224681956998e-14,5.71532772958248e-12,"S","6","5_6","McLaughlin","Tech",2.74335731019959e-10
"571","ML_GL_S1_1_8_S358_L004_464",154.398909631697,-28.7406668705738,4.24729843439514,-6.76681126003024,1.31651635253917e-11,2.17883456345233e-09,"S","6","5_6","McLaughlin","Tech",1.56876088568568e-07
"572","ML_GL_S1_1_8_S358_L004_74",184.378658377026,-24.3734825080716,4.05526409515643,-6.01033174070785,1.85144076647254e-09,1.41421590854403e-07,"S","6","5_6","McLaughlin","Tech",2.20617681732868e-05
"573","ML_GL_S1_2_5_S360_L004_1133",243.363675770011,-24.1760214887804,3.23316272605141,-7.47751460017174,7.5741355419081e-14,1.50422331862295e-11,"S","6","5_6","McLaughlin","Tech",9.02533991173769e-10
"574","ML_GL_S1_2_5_S360_L004_1881",589.046956446423,-12.5527325508383,1.95275399158654,-6.42822014699336,1.29106673777037e-10,1.60253658825747e-08,"S","6","5_6","McLaughlin","Tech",1.53843512472718e-06
